"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"81","5c8123c4366cb20001280842","test","cs","lr",2511,0.86,95,0.14,9,0.16,159,0.84,92,-19.76,5.27827898042035,"simple vs. complex","j"
"82","5c8123c4366cb20001280842","test","sc","lr",2355,0.82,98,0.18,11,0.12,143,0.88,85,-9.61999999999999,14.576539420644,"simple vs. complex","f"
"83","5c8123c4366cb20001280842","test","sc","lr",1092,0.83,60,0.17,9,0.96,58,0.04,130,-9.55,5.0482118519817,"simple vs. complex","f"
"84","5c8123c4366cb20001280842","test","sc","ns",2413,0.62,180,0.38,23,0.56,159,0.44,26,19.86,10.1862079082615,"simple vs. complex","f"
"85","5c8123c4366cb20001280842","test","sc","lr",1430,0.18,23,0.82,74,0.12,70,0.88,42,19.46,10.4946371533522,"simple vs. complex","f"
"86","5c8123c4366cb20001280842","test","sc","ns",2589,0.62,78,0.38,14,0.34,38,0.66,92,-19.96,5.48445876492334,"simple vs. complex","f"
"87","5c8123c4366cb20001280842","test","sc","rl",1496,0.81,108,0.19,193,0.17,63,0.83,125,9.69,10.0563433540549,"simple vs. complex","f"
"88","5c8123c4366cb20001280842","test","sc","lr",1820,0.88,87,0.12,11,0.93,65,0.07,104,10.15,14.7463431087983,"simple vs. complex","f"
"89","5c8123c4366cb20001280842","test","cs","ns",1427,0.42,158,0.58,22,0.68,40,0.32,162,0.0799999999999983,10.2138664814465,"simple vs. complex","j"
"90","5c8123c4366cb20001280842","test","cs","lr",1822,0.81,49,0.19,9,0.17,44,0.83,29,9.85,10.0575442054485,"simple vs. complex","j"
"91","5c8123c4366cb20001280842","test","cs","lr",1319,0.88,87,0.12,11,0.93,65,0.07,104,10.15,14.7463431087983,"simple vs. complex","j"
"92","5c8123c4366cb20001280842","test","sc","ns",2710,0.6,65,0.4,13,0.57,78,0.43,47,-20.47,10.1273450197817,"simple vs. complex","f"
"93","5c8123c4366cb20001280842","test","cs","rl",2452,0.81,108,0.19,193,0.17,63,0.83,125,9.69,10.0563433540549,"simple vs. complex","j"
"94","5c8123c4366cb20001280842","test","cs","rl",3062,0.87,48,0.13,115,0.17,58,0.83,80,-19.55,14.2684085186354,"simple vs. complex","j"
"95","5c8123c4366cb20001280842","test","cs","lr",2262,0.91,52,0.09,18,0.14,62,0.86,47,-0.160000000000004,4.5253743825836,"simple vs. complex","j"
